名前,父,父父,父母,母,母父,母母,ウマ娘順,サイゲURL,wikiURL
ヴィルシーナ,ディープインパクト,サンデーサイレンス,ウインドインハーヘア,ハルーワスウィート,Machiavellian,ハルーワソング,98,https://umamusume.jp/character/verxina,https://ja.wikipedia.org/wiki/ヴィルシーナ
ヴィブロス,ディープインパクト,サンデーサイレンス,ウインドインハーヘア,ハルーワスウィート,Machiavellian,ハルーワソング,99,https://umamusume.jp/character/vivlos,https://ja.wikipedia.org/wiki/ヴィブロス
サムソンビッグ,サクラショウリ,パーソロン,シリネラ,シユンイチオーカン,フロリバンダ,フジカワ,100,https://umamusume.jp/character/samsonbig,https://ja.wikipedia.org/wiki/サムソンビッグ
ロイスアンドロイス,トニービン,カンパラ,Severn_Bridge,ザツツマイパル,Key_to_the_Mint,Beautiful_Memory,101,https://umamusume.jp/character/royceandroyce,https://ja.wikipedia.org/wiki/ロイスアンドロイス
シーザリオ,スペシャルウィーク,サンデーサイレンス,キャンペンガール,キロフプリミエール,Sadler's_Wells,Querida,102,https://umamusume.jp/character/cesario,https://ja.wikipedia.org/wiki/シーザリオ
ラインクラフト,エンドスウィープ,フォーティナイナー,Broom_Dance,マストビーラヴド,サンデーサイレンス,ダイナシュート,103,https://umamusume.jp/character/rheinkraft,https://ja.wikipedia.org/wiki/ラインクラフト
エアメサイア,サンデーサイレンス,Halo,Wishing_Well,エアデジャヴー,ノーザンテースト,アイドリームドアドリーム,104,https://umamusume.jp/character/airmessiah,https://ja.wikipedia.org/wiki/エアメサイア
デアリングハート,サンデーサイレンス,Halo,Wishing_Well,デアリングダンジグ,Danzig,Impetuous_Gal,105,https://umamusume.jp/character/daringheart,https://ja.wikipedia.org/wiki/デアリングハート
フリオーソ,ブライアンズタイム,Roberto,Kelley's_Day,ファーザ,Mr._Prospector,Baya,106,https://umamusume.jp/character/furioso,https://ja.wikipedia.org/wiki/フリオーソ
トランセンド,ワイルドラッシュ,Wild_Again,Rose_Park,シネマスコープ,トニービン,ブルーハワイ,107,https://umamusume.jp/character/transcend,https://ja.wikipedia.org/wiki/トランセンド
エスポワールシチー,ゴールドアリュール,サンデーサイレンス,ニキーヤ,エミネントシチー,ブライアンズタイム,ヘップバーンシチー,108,https://umamusume.jp/character/espoircity,https://ja.wikipedia.org/wiki/エスポワールシチー
ダンツフレーム,ブライアンズタイム,Roberto,Kelley's_Day,インターピレネー,サンキリコ,モンテマリア,109,https://umamusume.jp/character/dantsuflame,https://ja.wikipedia.org/wiki/ダンツフレーム
ノーリーズン,ブライアンズタイム,Roberto,Kelley's_Day,アンブロジン,Mr._Prospector,バラダ,110,https://umamusume.jp/character/noreason,https://ja.wikipedia.org/wiki/ノーリーズン
スティルインラブ,サンデーサイレンス,Halo,Wishing_Well,ブラダマンテ,Roberto,Sulemeif,111,https://umamusume.jp/character/stillinlove,https://ja.wikipedia.org/wiki/スティルインラブ
オルフェーヴル,ステイゴールド,サンデーサイレンス,ゴールデンサッシュ,オリエンタルアート,メジロマックイーン,エレクトロアート,112,https://umamusume.jp/character/orfevre,https://ja.wikipedia.org/wiki/オルフェーヴル
ジェンティルドンナ,ディープインパクト,サンデーサイレンス,ウインドインハーヘア,ドナブリーニ,Bertolini,Cal_Norma's_Lady,113,https://umamusume.jp/character/gentildonna,https://ja.wikipedia.org/wiki/ジェンティルドンナ
ウインバリアシオン,ハーツクライ,サンデーサイレンス,アイリッシュダンス,スーパーバレリーナ,Storm_Bird,カウントオンアチェンジ,114,https://umamusume.jp/character/winvariation,https://ja.wikipedia.org/wiki/ウインバリアシオン
ドリームジャーニー,ステイゴールド,サンデーサイレンス,ゴールデンサッシュ,オリエンタルアート,メジロマックイーン,エレクトロアート,115,https://umamusume.jp/character/dreamjourney,https://ja.wikipedia.org/wiki/ドリームジャーニー
ブエナビスタ,スペシャルウィーク,サンデーサイレンス,キャンペンガール,ビワハイジ,Caerleon,アグサン,116,https://umamusume.jp/character/buenavista,https://ja.wikipedia.org/wiki/ブエナビスタ
ビリーヴ,サンデーサイレンス,Halo,Wishing_Well,グレートクリスティーヌ,Danzig,Great_Lady_M.,117,https://umamusume.jp/character/believe,https://ja.wikipedia.org/wiki/ビリーヴ
カルストンライトオ,ウォーニング,Known_Fact,Slightly_Dangerous,オオシマルチア,クリスタルグリッターズ,オオシマスズラン,118,https://umamusume.jp/character/calstonelighto,https://ja.wikipedia.org/wiki/カルストンライトオ
デュランダル,サンデーサイレンス,Halo,Wishing_Well,サワヤカプリンセス,ノーザンテースト,スコッチプリンセス,119,https://umamusume.jp/character/durandal,https://ja.wikipedia.org/wiki/デュランダル
バブルガムフェロー,サンデーサイレンス,Halo,Wishing_Well,バブルカンパニー,Lyphard,Prodice,120,https://umamusume.jp/character/bubblegumfellow,https://ja.wikipedia.org/wiki/バブルガムフェロー
フサイチパンドラ,サンデーサイレンス,Halo,Wishing_Well,ロッタレース,Nureyev,Sex_Appeal,121,https://umamusume.jp/character/fusaichipandora,https://ja.wikipedia.org/wiki/フサイチパンドラ
ブラストワンピース,ハービンジャー,Dansili,Penang_Pearl,ツルマルワンピース,キングカメハメハ,ツルマルグラマー,122,https://umamusume.jp/character/blastonepiece,https://ja.wikipedia.org/wiki/ブラストワンピース
サクラチトセオー,トニービン,カンパラ,Severn_Bridge,サクラクレアー,ノーザンテースト,クレアーブリッジ,123,https://umamusume.jp/character/sakurachitoseo,https://ja.wikipedia.org/wiki/サクラチトセオー
シュガーライツ,,,,,,,,,https://ja.wikipedia.org/wiki/シュガーライツ
ソノンエルフィー,,,,,,,,,https://ja.wikipedia.org/wiki/ソノンエルフィー
ダーレーアラビアン,,,,,,,,,https://ja.wikipedia.org/wiki/ダーレーアラビアン
ハッピーミーク,,,,,,,,,https://ja.wikipedia.org/wiki/ハッピーミーク
バイアリーターク,,,,,,,,,https://ja.wikipedia.org/wiki/バイアリーターク
ゴドルフィンバルブ,,,,,,,,,https://ja.wikipedia.org/wiki/%E3%82%B4%E3%83%89%E3%83%AB%E3%83%95%E3%82%A3%E3%83%B3%E3%82%A2%E3%83%A9%E3%83%93%E3%82%A2%E3%83%B3
ビターグラッセ,,,,,,,,,https://ja.wikipedia.org/wiki/ビターグラッセ
ライトハロー,,,,,,,,,https://ja.wikipedia.org/wiki/ライトハロー
リガントーナ,,,,,,,,,https://ja.wikipedia.org/wiki/リガントーナ
リトルココン,,,,,,,,,https://ja.wikipedia.org/wiki/リトルココン
ヴェニュスパーク,,,,,,,,,https://ja.wikipedia.org/wiki/ヴェニュスパーク
Flaming_Page,Bull_Page,Bull_Lea,Our_Page,Flaring_Top,Menow,Flaming_Top,,,https://ja.wikipedia.org/wiki/フレーミングページ
